p_MeV,n_fit,n_thr,sigma_p_over_p_core,bias_core
200,3,500,0.0000,0.0000
400,40,500,0.2258,-1.9203
600,384,500,0.1551,-1.2096
800,482,500,0.7421,-4.0174
1000,481,500,0.8801,-3.6267
1200,487,500,0.1719,-0.8617
