p_MeV,n_fit,n_thr,sigma_p_over_p_core,bias_core
200,3,500,0.0000,0.0000
400,40,500,0.0083,0.0027
600,394,500,0.0051,0.0078
800,489,500,0.0116,0.0151
1000,484,500,0.0123,0.0189
1200,490,500,0.0128,0.0196
